interviewed_1	interviewed_2	interviewer_1	interviewer_2	interviewer_3	interviewer_4	operator	date	length	type	
Николай Алексеевич Федоров	-	Александра Александровна Григорьева	Алексей Владимирович Задорожный	-	-	Владимир Владимирович Файер	9/24/1997	1:10:00	автобиографическое	
Александр Иосифович Немировский	-	-	-	-	-	-	5/2/2005	2:01:03	автобиографическое	
Александр Иосифович Немировский	-	Михаил Владимирович Шумилин	Мария Михайловна Юровицкая	Алексей Евгеньевич Беликов	-	-	4/8/2006	1:55:29	автобиографическое	
Галина Глебовна Козлова	-	Мария Сергеевна Касьян	Елена Сергеевна Криницына	-	-	Павел Викторович Фрейчко	4/8/2006	2:21:17	автобиографическое	
Павел Александрович Гринцер	-	Борис Александрович Каячев	-	-	-	Павел Викторович Фрейчко	5/21/2006	1:15:46	автобиографическое	
Ия Леонидовна Маяк	-	Ярослав Владимирович Мельничук	Мария Вячеславовна Урбанавичуте	-	-	-	5/4/2007	3:36:10	автобиографическое	
Валентина Дмитриевна Савукова	-	Андрей Сергеевич Ванюков	-	-	-	Андрей Сергеевич Ванюков	5/17/2007	1:51:28	автобиографическое	
Валентина Дмитриевна Савукова	-	Андрей Сергеевич Ванюков	-	-	-	Андрей Сергеевич Ванюков	11/16/2007	0:30:47	автобиографическое	
Нина Лазаревна Кацман	-	Андрей Сергеевич Ванюков	-	-	-	Андрей Сергеевич Ванюков	11/30/2007	1:48:31	автобиографическое	
Аза Алибековна Тахо-Годи	-	Елизавета Сергеевна Наумова	Владимир Владимирович Файер	-	-	Владимир Владимирович Файер	1/24/2008	1:29:17	автобиографическое	
Вадим Леонидович Цымбурский	-	Мария Мироновна Сокольская	Владимир Владимирович Файер	-	-	Владимир Владимирович Файер	3/2/2008	2:16:05	автобиографическое	
Николай Алексеевич Федоров	-	Владимир Степанов	Владимир Владимирович Файер	-	-	Владимир Владимирович Файер	3/24/2008	2:16:36	тематическое	
Александр Евгеньевич Кибрик	-	Евгения Литвин	Владимир Владимирович Файер	-	-	Владимир Владимирович Файер	4/8/2008	2:29:26	автобиографическое	
Валентина Федоровна Новодранова	-	Майя Яковлевна Паит	Наталья Нетылева	Ксения Смыковская	-	Павел Викторович Фрейчко	5/17/2008	2:06:57	автобиографическое	
Беатриса Борисовна Ходорковская	Николай Алексеевич Федоров	Андрей Сергеевич Ванюков	-	-	-	Павел Викторович Фрейчко	11/1/2008	2:03:09	автобиографическое	
Кира Аркадьевна Северова	-	Андрей Сергеевич Ванюков	-	-	-	Андрей Сергеевич Ванюков	4/23/2009	0:12:32	автобиографическое	
Максим Наумович Чернявский	Юлия Ивановна Городкова	Нина Владимировна Брагинская	-	-	-	Андрей Сергеевич Ванюков	12/5/2009	3:50:56	автобиографическое	
Максим Наумович Чернявский	Юлия Ивановна Городкова	Студенты классического отделения РГГУ	-	-	-	Андрей Сергеевич Ванюков	4/4/2010	2:43:12	автобиографическое	
Нина Лазаревна Кацман	-	Нина Владимировна Брагинская	-	-	-	Андрей Сергеевич Ванюков	6/23/2010	1:21:21	автобиографическое	
